date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,both:Teams to Slay a Baron:yes,both:Teams to Slay a Baron:no,both:Teams to Slay a Dragon:yes,both:Teams to Slay a Dragon:no,special:Winner:home,special:Winner:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away
2020-09-03,VCS,2020.0,summer,EVOS Esports,GAM Esports,unikrn,2020-09-03 23:00:00,,,,,,,,,,,
2020-09-03,VCS,2020.0,summer,EVOS Esports,GAM Esports,unikrn,2020-09-03 23:00:00,2.0,6.5,1.11,1.28,3.5,1.44,2.62,,,,
2020-09-03,VCS,2020.0,summer,EVOS Esports,GAM Esports,unikrn,2020-09-03 23:00:00,3.0,,,1.28,3.5,1.44,2.62,,,,
2020-09-05,LVP SuperLiga,2020.0,summer,G2 Artic,Movistar Riders,unikrn,2020-09-03 23:00:00,1.0,,,,,1.4,2.75,,,,
2020-09-05,LVP SuperLiga,2020.0,summer,G2 Artic,Movistar Riders,unikrn,2020-09-03 23:00:00,2.0,,,,,1.4,2.75,,,,
2020-09-05,LVP SuperLiga,2020.0,summer,G2 Artic,Movistar Riders,unikrn,2020-09-03 23:00:00,3.0,,,,,1.4,2.75,,,,
2020-09-05,LCK,2020.0,summer,DragonX,Damwon,unikrn,2020-09-03 23:00:00,1.0,,,,,1.44,2.62,,,,
2020-09-05,LCK,2020.0,summer,DragonX,Damwon,unikrn,2020-09-03 23:00:00,2.0,,,,,1.44,2.62,,,,
2020-09-05,LCK,2020.0,summer,DragonX,Damwon,unikrn,2020-09-03 23:00:00,3.0,,,,,1.44,2.62,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,unikrn,2020-09-03 23:00:00,1.0,,,,,3.5,1.28,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,unikrn,2020-09-03 23:00:00,2.0,,,,,3.5,1.28,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,unikrn,2020-09-03 23:00:00,3.0,,,,,3.5,1.28,,,,
2020-09-06,LEC,2020.0,summer,Rogue,G2,unikrn,2020-09-03 23:00:00,1.0,,,,,1.5,2.5,,,,
2020-09-06,LEC,2020.0,summer,Rogue,G2,unikrn,2020-09-03 23:00:00,2.0,,,,,1.5,2.5,,,,
2020-09-06,LEC,2020.0,summer,Rogue,G2,unikrn,2020-09-03 23:00:00,3.0,,,,,1.5,2.5,,,,
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2020-09-03 23:00:00,1.0,,,,,1.57,2.25,8.0,1.08,1.66,2.1
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2020-09-03 23:00:00,2.0,6.5,1.11,1.25,3.75,1.57,2.25,,,,
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2020-09-03 23:00:00,3.0,,,1.25,3.75,1.57,2.25,,,,
